Computing tau sieve...
Done.

All events where excess <= 10 for n in (24, 1000000]:
Total count: 1056
(25, 32, 27, 5)
(26, 32, 28, 4)
(27, 32, 29, 3)
(28, 32, 30, 2)
(29, 34, 31, 3)
(30, 34, 32, 2)
(31, 38, 33, 5)
(32, 38, 34, 4)
(33, 38, 35, 3)
(34, 38, 36, 2)
(35, 38, 37, 1)
(36, 39, 38, 1)
(37, 45, 39, 6)
(38, 45, 40, 5)
(39, 45, 41, 4)
(40, 45, 42, 3)
(41, 48, 43, 5)
(42, 48, 44, 4)
(43, 50, 45, 5)
(44, 50, 46, 4)
(45, 50, 47, 3)
(46, 51, 48, 3)
(47, 51, 49, 2)
(48, 51, 50, 1)
(49, 58, 51, 7)
(50, 58, 52, 6)
(51, 58, 53, 5)
(52, 58, 54, 4)
(53, 58, 55, 3)
(54, 58, 56, 2)
(55, 62, 57, 5)
(56, 62, 58, 4)
(57, 64, 59, 5)
(58, 64, 60, 4)
(59, 64, 61, 3)
(60, 64, 62, 2)
(61, 72, 63, 9)
(62, 72, 64, 8)
(63, 72, 65, 7)
(64, 72, 66, 6)
(65, 72, 67, 5)
(66, 72, 68, 4)
(67, 74, 69, 5)
(68, 74, 70, 4)
(69, 74, 71, 3)
(70, 74, 72, 2)
(71, 78, 73, 5)
(72, 78, 74, 4)
(73, 84, 75, 9)
(74, 84, 76, 8)
(75, 84, 77, 7)
(76, 84, 78, 6)
(77, 84, 79, 5)
(78, 84, 80, 4)
(79, 86, 81, 5)
(80, 86, 82, 4)
(81, 90, 83, 7)
(82, 90, 84, 6)
(83, 90, 85, 5)
(84, 90, 86, 4)
(85, 96, 87, 9)
(86, 96, 88, 8)
(87, 96, 89, 7)
(88, 96, 90, 6)
(89, 96, 91, 5)
(90, 96, 92, 4)
(91, 102, 93, 9)
(92, 102, 94, 8)
(93, 102, 95, 7)
(94, 102, 96, 6)
(95, 102, 97, 5)
(96, 102, 98, 4)
(97, 108, 99, 9)
(98, 108, 100, 8)
(99, 108, 101, 7)
(100, 108, 102, 6)
(101, 109, 103, 6)
(102, 109, 104, 5)
(103, 110, 105, 5)
(104, 110, 106, 4)
(105, 112, 107, 5)
(106, 113, 108, 5)
(107, 113, 109, 4)
(108, 113, 110, 3)
(109, 120, 111, 9)
(110, 120, 112, 8)
(111, 120, 113, 7)
(112, 120, 114, 6)
(113, 122, 115, 7)
(114, 122, 116, 6)
(115, 122, 117, 5)
(116, 122, 118, 4)
(117, 122, 119, 3)
(118, 123, 120, 3)
(119, 123, 121, 2)
(120, 123, 122, 1)
(124, 136, 126, 10)
(125, 136, 127, 9)
(126, 136, 128, 8)
(127, 138, 129, 9)
(128, 138, 130, 8)
(129, 138, 131, 7)
(130, 138, 132, 6)
(131, 138, 133, 5)
(132, 138, 134, 4)
(133, 144, 135, 9)
(134, 144, 136, 8)
(135, 144, 137, 7)
(136, 144, 138, 6)
(137, 144, 139, 5)
(138, 144, 140, 4)
(139, 146, 141, 5)
(140, 146, 142, 4)
(141, 152, 143, 9)
(142, 152, 144, 8)
(143, 152, 145, 7)
(144, 152, 146, 6)
(147, 159, 149, 10)
(148, 159, 150, 9)
(149, 159, 151, 8)
(150, 159, 152, 7)
(151, 162, 153, 9)
(152, 162, 154, 8)
(153, 162, 155, 7)
(154, 162, 156, 6)
(155, 162, 157, 5)
(156, 162, 158, 4)
(157, 168, 159, 9)
(158, 168, 160, 8)
(159, 168, 161, 7)
(160, 168, 162, 6)
(161, 172, 163, 9)
(162, 172, 164, 8)
(163, 172, 165, 7)
(164, 172, 166, 6)
(165, 172, 167, 5)
(166, 173, 168, 5)
(167, 173, 169, 4)
(168, 173, 170, 3)
(172, 184, 174, 10)
(173, 184, 175, 9)
(174, 184, 176, 8)
(175, 184, 177, 7)
(176, 184, 178, 6)
(177, 186, 179, 7)
(178, 186, 180, 6)
(179, 186, 181, 5)
(180, 186, 182, 4)
(186, 198, 188, 10)
(187, 198, 189, 9)
(188, 198, 190, 8)
(189, 198, 191, 7)
(190, 198, 192, 6)
(191, 198, 193, 5)
(192, 198, 194, 4)
(194, 206, 196, 10)
(195, 206, 197, 9)
(196, 206, 198, 8)
(197, 206, 199, 7)
(198, 206, 200, 6)
(199, 210, 201, 9)
(200, 210, 202, 8)
(201, 212, 203, 9)
(202, 212, 204, 8)
(203, 212, 205, 7)
(204, 212, 206, 6)
(205, 216, 207, 9)
(206, 216, 208, 8)
(207, 216, 209, 7)
(208, 216, 210, 6)
(209, 218, 211, 7)
(210, 218, 212, 6)
(214, 226, 216, 10)
(215, 226, 217, 9)
(216, 226, 218, 8)
(220, 232, 222, 10)
(221, 232, 223, 9)
(222, 232, 224, 8)
(223, 232, 225, 7)
(224, 232, 226, 6)
(225, 236, 227, 9)
(226, 236, 228, 8)
(227, 236, 229, 7)
(228, 236, 230, 6)
(229, 240, 231, 9)
(230, 240, 232, 8)
(231, 240, 233, 7)
(232, 240, 234, 6)
(233, 240, 235, 5)
(234, 240, 236, 4)
(235, 246, 237, 9)
(236, 246, 238, 8)
(237, 246, 239, 7)
(238, 246, 240, 6)
(239, 246, 241, 5)
(240, 246, 242, 4)
(248, 260, 250, 10)
(249, 260, 251, 9)
(250, 260, 252, 8)
(251, 260, 253, 7)
(252, 260, 254, 6)
(258, 270, 260, 10)
(259, 270, 261, 9)
(260, 270, 262, 8)
(261, 272, 263, 9)
(262, 272, 264, 8)
(263, 272, 265, 7)
(264, 272, 266, 6)
(268, 280, 270, 10)
(269, 280, 271, 9)
(270, 280, 272, 8)
(274, 286, 276, 10)
(275, 286, 277, 9)
(276, 286, 278, 8)
(277, 288, 279, 9)
(278, 288, 280, 
